Person,File,Transcription,Pauses
Dan Ingram,daningram_15.wav, long  before  the  blackout  alright  yeah  blackout  blackout  was  suddenly  everything  started  to  slow  down  because  in  those  days  the  tape  machines  were  hooked  up  to  60  cycle  current  and  when  the  current  started  going  down  they  started  rolling  their  own  trull  and  at  5.27  in  the  middle  of  the  newscast  and  we're  gone  that  was  it  they  gave  me  an  armload  of  LPs  and  said  getting  the  car  because  the  only  place  in  the  york  city  that  had  power  was  low  die  new  jersey  where  we  had  our  transmitter  right  so  we  were  on  the  air  and  I  was  on  the  air  at  4.30  in  the  morning  doing  my  first  talk  show  I  invented  talk  radio  and  we  didn't  have  a  turntable  I  got  an  armload  of  records  and  no  turntable  and  I  was  broadcasting  out  of  the  trans,
Terry Jones,terryjones_5.wav," to  work?  Well,  yeah,  but  then  it  was  the  government  that  went  to  war,  you  know. (pause for 0.6s)  And  I  was  reading (pause for 1.4s)  an  in -house  magazine  for  the  Arms  Industry  called  Weapons  Today  before  the  First  Gulf  War, (pause for 0.6s)  and  the  editorial  was  headed  thank  God  for  Saddam. (pause for 0.6s)  And  it  was  all  about  how,  as  you  know,  after  the  collapse  of  the,  of  the  perestroika,  of  the  collapse  of  communism  and  perestroika,  the  arms  industry  has  been  in  the  doldrums  and  the  order  books  have  been  empty. (pause for 0.9s)  But  now  we've  got  a  real  enemy  who  nobody  can  complain  about  in  Saddam  Hussein,  and  we  can  look  forward  to  the  order  books  being  full. (pause for 0.9s)  And  then  it  said, (pause for 0.6s)  and  in  the  future,  we  can  look  to  Islam  to  replace  communism.  Now  this  was  in  the  war.","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Aileen Hernandez,aileenhernandez_5_1.wav," I  arrive  at  my  first  political  science  class. (pause for 0.5s)  The  teacher  looks  down  at  me  and  then  he  says, (pause for 0.5s)  if  you  are  not  prepared  to  do  all  of  the  work  that  we're  talking  about,  I  would  suggest  that  you  leave  now  and  sign  up  for  a  home  economics. (pause for 0.5s)  And  I  look  around  and  for  the  first  time  I  discover  I'm  the  only  girl  in  the  room. (pause for 0.6s)  I  would  not  move. (pause for 0.8s)  Because  I  knew  my  mother  would  never  forgive  me  if  I  did. (pause for 1.2s)  I  did  very  well  in  college  and  I  saw  an  ad (pause for 0.6s)  would  you  like  a  job  that  doesn't  pay  a  lot  of  money  but  gives  lots  of  satisfaction  to  you  in  terms  of  what  you're  doing  in  the  society. (pause for 0.5s)  And  I  said,  they're  talking  to  me.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Aileen Hernandez,aileenhernandez_5_2.wav," We  are  more  conscious  in  this  state  now  about  the  places  where  inequity  actually  exists. (pause for 0.7s)  And  we  do  try  to  pass  laws  and  we  do  see  some  changes. (pause for 0.7s)  I  can  remember,  for  example,  when  the  issues  around  disability  first  came  into  play. (pause for 0.9s)  And  people  said,  this  is  incredible.  We  can't  do  all  of  these  things  that  will  cost  a  fortune  for  us  to  do  it.  And  what  these  things  were  with  such  things  is  how  do  we  make  sure  that  people  in  wheelchairs  can  get  up  on  a  sidewalk  or  get  into  an  elevator  or  do  any  of  those  things. (pause for 0.7s)  And  this  was  horrifying  to  people  who  was  going  to  cost  fortunes  to  carve  out  all  these  curves  so  that  you  could  get  people  on  their  wheelchairs  in  there. (pause for 0.8s)  Well,  what  has  turned  out  to  happen  is  that  by  doing  that  for  what  was  considered  a  quote,  a  small  group  of  people,  we  have  incredibly  improved  the  ability  of  a  lot  of  other  people  to  use  them  as  well.  For  example,  any  parent  who  has  a  child  and  a  stroller  is  now  using  those  carved  out  curves. (pause for 0.6s)  They  would  not  have  been  able  to  do  that  before,  but  they  found  it  works. (pause for 0.6s)  So  it  didn't  just  help  a  small  group  of  people.  Once  it  was  done,  it  opened  up  a  lot  of  groups  of  people.  I'm  sure  that  any  delivery  company  that  has  to  deliver  also  appreciates  those  curves  being  carved  out. (pause for 0.5s)  And  we've  also  learned  that  our  stereotypes  begin  to  fall  away.  Once  we  have  the  experience  with  them. (pause for 0.5s)  Because  we  have  found  that  we  have  lost  a  lot  of  time.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Aileen Hernandez,aileenhernandez_0.wav," This  is  not  going  to  sound  like  very  ladylike,  and  what  my  mother  did  was  she  took  me  by  the  hand.  She  took  me  down  to  the  person  who  had  come  up  with  this  idea  of  having  a  petition,  and  she  walked  right  into  the  kitchen, (pause for 0.6s)  and  she  said  to  him, (pause for 0.6s)  what  made  you  decide  that  you  should  have  us  not  living  in  this  neighborhood? (pause for 0.5s)  Who  were  you  to  make  that  decision? (pause for 1.0s)  So  part  of  it,  I  learned  very  quickly  that  if  you've  got  an  issue,  you  better  start  speaking  up  very  early  on  it. (pause for 0.6s)  What  was  nice  about  the  end  of  it  was  the  principal  at  the  school  called  all  of  the  people  together  and  told  them  that  if  they  tried  to  get  us  out  of  the  neighborhood, (pause for 0.5s)  he  would  make  sure  that  we  could  go  into  his  house  and  we  could  still  stay  there.","(pause, (pause, (pause, (pause, (pause, (pause"
Pauline Phillips,PaulinePhillips_10.wav," I  started  in  San  Francisco  in  1956,  my  twin  sister. (pause for 0.8s)  I  started  three  months  before  in  Chicago  and  Landers.  She  started  in  Houston. (pause for 0.6s)  And  then  three  months  later, (pause for 0.6s)  I  used  to  went  to  the  Chronicle  of  San  Francisco.  It  said,  they  were  running  Molly  Mayfield,  who  was  out  of  Denver.  Molly  Mayfield.  Molly  Mayfield,  and  it  was  an  agony  column.  It  really  wasn't  very  good. (pause for 0.6s)  So  I  read  it  and  I  said,  I  can  do  this.  So  into  the  Chronicle  of  San  Francisco,  Hawke  Arnold,  the  editor, (pause for 0.7s)  I  just  breathed  dust  by  way  in. (pause for 1.0s)  And  I  said,  you'd  like  to  do  a  much  better  column.  And  this  Mayfield  person  is  like  that.  Here,  he  said,  listen,  we're  very  busy,  but  I'll  tell  you  what  we'll  do. (pause for 0.8s)  So  he  called  a  copy  boy  and  said,  get  about  six  weeks  columns  done  by  Mayfield  and  bring  them  over  here. (pause for 0.8s)  So  he  said,  well,  what  do  you  do?  I  said, (pause for 0.8s)  I'm  a  Hillsboro  housewife. (pause for 0.8s)  I  didn't  have  a  social  security  number.  I  never  worked  a  day  of  my  life.  I  did  volunteer  work.  I  was  a  great  lady  in  hospitals.  And  I  worked  for  the  UJA  in  the  United  Crusader.  So  what  did  he  have  you  do,  answered  letters?  He  said,  yes,  he  brought  the  letters  back.  And  he  said,  you  use  the  letters  put  to  her,  strike  out  the  answers  and  write  in  your  own  and  bring  them  back  in  about  a  week. (pause for 1.8s)  OK,  took  the  stuff  with  me.  And  he  said, (pause for 0.5s)  don't  call  us,  we'll  call  you.  Leave  your  name  at  the  desk.  Let's  name  it  the  desk.  Went  to  my  husband's  office  about  three  blocks  from  the  Chronicle, (pause for 0.7s)  got  behind  a  typewriter,  and  I  went  to  work. (pause for 0.9s)  Duck  suit,  easy,  one -laners.  As  I  went  a  half, (pause for 0.5s)  I  was  back  at  the  Chronicle. (pause for 1.1s)  And  he  said,","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Antony Flew,antonyflew_10.wav," Well,  I'm  not  sure  how  one  goes  from  there,  but  it  may  be  of  interest  to  you  to  know  that  I  was  acquainted  with  C.S.  Lewis. (pause for 1.3s)  In  my  time  at  the  University  of  Oxford,  as  a  student  and  a  graduate  student, (pause for 0.6s)  I  went  frequently  to  meetings  of  the  Socratic  Club, (pause for 0.5s)  an  organization  which  he  founded  and  for  certainly  through  most  of  the  forties  and  for  the  fifties  chaired. (pause for 0.8s)  You  might  also  be  interested  to  know  that  in  his  later  life  he  became  very  distressed  about  evil  because  basically  he  was  confronted  with  the  choice.  Are  things  good  because  God  said  so  or  does  God  approve  of  them  because  they  were  good? (pause for 0.5s)  And  he  couldn't  see  the  way  out  of  any  way  other  than  saying  that  absolute  power  is  its  own  justification, (pause for 0.6s)  as  Calvin  and  others  said. (pause for 0.6s)  And  in  view  of  the  fact  that  the  traditional  religion  is  committed  to  the  idea  that  most  of  God's  creatures  are  going  to  be  tortured  forever  for  the  things  that  he  makes  them  do. (pause for 0.9s)  The  whole  of  Christian  theism  is  a  nightmare  to  me.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Antony Flew,antonyflew_5_2.wav," What  I  think  that  the  DNA  material  has  done  has  shown  by  almost  unbelievable  complexity  of  the  arrangements  which  lead  to  produce  this  being, (pause for 0.8s)  that  intelligence  must  have  been  involved  in  getting  these  extraordinarily  diverse  elements  to  work.",(pause
Antony Flew,antonyflew_5_1.wav," emphatically,  yes, (pause for 0.5s)  yes. (pause for 1.0s)  I  don't  see  why  there's  any  reason  for  him  to  be  discontented  in  any  way  with  what  he's  already  produced, (pause for 0.9s)  human  beings  as  they  are. (pause for 1.3s)  But  to  be  as  it  were  thinking,  now  we  can  get  on  with  the  real  business  of  converting  them  to  some  religion  or  punishing  them  for  not  falling.  The  whole  idea  of  this  being  thinking,  well,  the  whole  point  of  creating  a  universe  is,  in  the  case  of  Islam, (pause for 1.0s)  to  have  the  satisfaction  of  torturing  some  of  its  members  forever. (pause for 1.0s)  But  then,  as  I  say,  I  have  no  respect  for  Islam  as  a  system  of  thought.  After  all,  whereas (pause for 0.6s)  Christianity  had  two  things, (pause for 0.7s)  a  first -rate  philosophical  intellect, (pause for 0.6s)  instant  Paul, (pause for 0.7s)  knowing  all  relevant  languages  and  all  the  things  about  the  ancient  world  and  the  ancient  civilization,  and  the  defining  instance  of  a  charismatic  figure  in  Jesus  Christ.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Steve Lawrence,SteveLawrence_15.wav, really  well  it  uh...  he  and  i  have  uh...  going  all  over  the  country  as  you  say  and  and  kind  of  thanking  the  people  for  uh...  being  there  for  us  over  the  many  years  that  we've  been  performing (pause for 0.6s)  and  we're  kind  of  cut  down  and  and  uh...  we're  calling  this  to  her  the  one  more  for  the  road  to  her  which  in  a  way  as  i  say  it's  going  back  to  a  lot  of  these  theaters  that  we  played  for  it  uh...  about  the  fifth  and  decades  but  right  happy  to  say  that  as  well  well  performing  is  about  uh...  yeah  i  think  it's  about  forty -five  years  because  he  and  i  have  been  married  forty -six  gone  up  forty -seven  years  in  the  summer  after  we  were  married  we  were  both  still  independently  working  uh...  both  parts  of  the  country  she'd  be  in  Kansas  and  i'd  be  in  Cincinnati  or  wherever  so  uh...  the  phone  company  was  getting  all  our  money  so  we  decided  to  work  together  well  it  was  that  it  came  about  uh...  a  couple  of  years  about  two  years  ago  we  actually  did  it  because  uh...  many  many  years  ago  frank  uh...  uh...  and  he  and  i  had  the  pleasure  of  traveling  all  over  the  world  with  uh...  with  frank  and  performing  it  uh...  literally (pause for 0.8s)  uh...  all  over  the  globe  and  i  must  say  it  was  an  experience  of  a  lifetime (pause for 0.8s)  and  frank  was  gracious  enough  to  send  me  as  a  gift  uh...  a  slew  of  his  uh...  musical  arrangements  from  his  own  library (pause for 0.7s)  and  he  included  a  note  in  there  and  uh...  he  just  said  he  i  know  how  much  i  love  this  music  and  i  just  want  you  to  keep  the  music  on  and  take  this  with  you  all  over  the  all  over  the  country  where  you  go  just  tell  everybody  we  got  it  so  when  he  passed  on  uh...  uh...  i  just  uh...  didn't  want  to  do  it  right  away  because  everybody  jumped  on  that  kind  of  bandwagon (pause for 0.9s)  but  a  couple  years  ago  my  manager  said  to  me  that (pause for 0.5s)  well  i've,"(pause, (pause, (pause, (pause, (pause, (pause"
