Person,File,Transcription,Pauses
Bill Wyman,BillWyman_3.wav," we  began  in  the  60s,  63,  64, (pause for 0.9s)  you  know,  with  the  first  two  years  when  we  were  doing  300  shows  a  year,  you  know,  and  all  that, (pause for 0.7s)  and  doing  recordings  and  doing  interviews,  photo  sessions.  It  was  never  ending. (pause for 0.9s)  It  was  like  a  hurricane.  You  were  like  in  the  middle  of  a  hurricane, (pause for 0.6s)  and  around  you,  which  you  saw  casually,  or  the  great  films  that  began,  or  the  great  new  actors,  and  all  that.  You  saw  all  the  fashion  changing. (pause for 0.6s)  You  saw  the  merry -quant  and  the  mini -skirts.  You  saw  the  birth  pill. (pause for 0.9s)  You  saw  all  these  things  changing  all -time  art, (pause for 1.0s)  you  know,  or  part. (pause for 0.8s)  But  you  were  right  in  the  middle  of  it,  and  you  kind  of  tend  to  look  back  more  to  see  those  things  and  be  aware  of  them  at  the  time. (pause for 1.0s)  It  was  just  coming  too  far.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Bill Wyman,BillWyman_2.wav, Of  course  you're  going  to  come  up  with  good  quality  songs  and  good  recordings  and  the  most  important  thing  is  you've  got  to  go  out  there  and  do  a  great  show  to  a  big  audience  you  know  and  you  talk  about  England  you  go  to  America  you've  got  to  break  every  state (pause for 0.6s)  individually  every  town  one  by  one  you  can't  just  be  popular  like  you  are  in  England  and  then  you're  popular  in  the  whole  country  overnight  because  you  did  top  of  the  pop  so  something  and  you  go  to  America.,(pause
Bill Wyman,BillWyman_1.wav," Anyway,  he  sits  there  and  he  falls  asleep, (pause for 0.6s)  you  know,  all  these  Indian  guys  around  him.  He  falls  asleep.  And  about  two  hours  later,  they're  waking  him  up,  you  know. (pause for 0.7s)  And  he's  surrounded  by  cops  as  well. (pause for 0.7s)  And  we're  in  Toronto,  it's  pretty  heavy  down  there. (pause for 1.2s)  And  so  they're  shaking  it  up  and  they  say,  who  are  you?  He's  all  got  stubble  on  everything,  you  know.  What  are  you  doing?  And  he  says,  where  am  I?  Where  am  I?  And  he  says,  you're  in  Toronto.  And  he  said,  Toronto. (pause for 0.5s)  And  what  am  I  doing  in  Toronto,  you  know?  And  they  think  this  guy's  crazy.","(pause, (pause, (pause, (pause, (pause"
Mel brooks,Mel brooks_2.wav," Actually,  it  was  kind  of  outrageous  and  a  bit  before  it's  time  in  1968  when  it  was  released  as  a  film. (pause for 1.0s)  I  mean,  just  the  phrase, (pause for 0.9s)  springtime  for  Hitler, (pause for 1.4s)  remember  the  lot  of  Jews  in  New  York,  you  know  what  I  mean?  I  mean,  they  didn't  take  to  it,  you  know? (pause for 0.6s)  So,  I  mean, (pause for 0.6s)  it  was  a  strange  story  about  a  couple  of  scoundrels  who  were  trying  to  raise  a  lot  more  money  than  they  needed,  so  therefore  they  needed  a  flop. (pause for 2.3s)  If  it  closed, (pause for 0.6s)  then  they  could  take  all  their  money  and  go  to  Rio. (pause for 0.9s)  But  if  it  was  a  hit,  they've  sold  1,000  percent,  they  could  never  pay  at  all.  So  I  mean,  it  was  a  little  complicated  plot,  and  a  few  smart  people  liked  it.  And  then  there  was  a  thing  called  video,  and  then  there  was  a  thing  called  DVDs, (pause for 0.7s)  and  I've  became  more  successful. (pause for 1.0s)  And  so  the  time  was  right  for  it,  right  for  it,  actually, (pause for 0.5s)  to  go  to  Broadway, (pause for 0.8s)  David  Geffen,  very  famous  American  music  mogul, (pause for 0.6s)  very  short,  very  little  guy, (pause for 1.5s)  wears  high  heels  like (pause for 1.0s)  David.  And  David  said,  this  could  be  a  musical.  This  could  be  a  musical,  and  I  said,  David,  forget  it.  It's  just  become  a  hit  movie,  it's  just  they're  selling  the  DVDs.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Mel brooks,Mel brooks_1.wav," That's  why  they're  always  there,  you  know.  They're  dummies.  I  don't  smart  people.  But  anyway,  Gene  Wilder  asked  me  about  young  Frankenstein.  He  had  an  idea  to  do  young  Frankenstein. (pause for 0.8s)  And  I  said,  we'll  talk  about  it  later,  but  I  really  owed  him  a  big  favor.  And  I  began  doing  it  as  a  favor. (pause for 1.5s)  But  the  writing  and  the  comedy  and  the  fun,  we  got  very  good.  It  began  to  get  really,  really  good.  And  as  we  began  shooting  it,  it  got  funnier  and  funny.  I  could  not  believe  that  it  would  turn  out  good.  Because  it's  Jewish  anxiety  and  guilt.  I  mean,  how  could  you  have  such  a  good  time? (pause for 0.5s)  And  so  what  am  I  trying  to  do  with  it?","(pause, (pause, (pause"
Paul Verhoeven,PaulVerhoeven_1.wav," and  happily  it  didn't  happen  to  me. (pause for 1.3s)  When  I  was  a  kid,  when  I  was  seven  or  eight,  I  went  into  a  little  elevator, (pause for 0.5s)  which  were  these  things  that  are  turning  around.  You  get  in  and  it  turns  around. (pause for 0.7s)  And  because  I  was  a  kid,  I  was  playing  around  and  put  my  legs  over  the  side. (pause for 0.5s)  And  suddenly,  there  was  exactly  the  same  situation  that  the  ceiling  was  coming  and  was  nearly  cutting  off  my  legs.  And  fortunately, (pause for 1.5s)  part  of  the  ceiling,  they  had  loosened  up. (pause for 0.5s)  So  it  flipped  around  my  legs. (pause for 0.7s)  Otherwise,  you  would  have  cut  out  my  legs. (pause for 1.2s)  And  I  think  that  was  such  a  terrifying  experience.  And  then  nothing  happened.  Of  course,  I  was  saved,  or  whatever  you  want  to  call  it.  I  didn't  lose  my  legs.  But  it  was  such  a  gruesome  idea  that  it  nearly  happened, (pause for 0.5s)  that  it  obsessed  my  whole  life.  And  then  when  I  was  making  this  movie,  and  I  got  to  this  fight  in  the  elevator,  which  was  in  the  movie, (pause for 0.9s)  I  suddenly,  this  vision  of  horror, (pause for 0.7s)  because  it  is,  of  course,  a  vision  of  horror,  came  into  my  mind  and  I  felt  compelled  to  do  it.  And  I  might  be  wrong,  but  it  was  a  personal  thing.  Yeah,  I  mean,  but  that's  probably  the  most  difficult  things  for  a  director  to  judge. (pause for 0.7s)  I  mean,  the  level  of  violence  in  things  that  you  have  experienced  yourself  seem  to  be  normal  to  you. (pause for 0.7s)  And  then  you  are  not  a  good  judge  of  your  own  work,  probably,  anymore. (pause for 0.6s)  That's  might  be  true.  And  if  you  say  that's,  oh,","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Paul Verhoeven,PaulVerhoeven_3.wav," En  ik  verkeel  dat  het  was  iets  dat  was  mogelijk (pause for 0.8s)  om  te  schrijven,  iets  zo  direct  en  zo  realistisch  in  het  society  dat  mensen  wereien  dat  deze  dingen  wereien.  In  fact,  we  zijn  al  toekomst  om  te  schrijven  en  hoeveel  we  gaan  gaan.  Ik  denk  dat  de  realiteit  van  sex, (pause for 0.8s)  is  often,  especially  when  you  look  at  nowadays  American  movies,  het  is  allemaal  expressen  in  een  hele  kriptiek  woon. (pause for 1.1s)  Aliptiek,  every  whenever  there  is  a  sex  scene, (pause for 0.8s)  the  woman  keeps  on  her  braad,  dat  is,  let's  say,  a  really  exceptional,  I  could  tell  you. (pause for 2.5s)  But, (pause for 0.6s)  I  mean,  they  do  that,  and  all  that  has  to  do  with,  let's  say, (pause for 0.7s)  making  more  money,  because  then  the  movie  is  not  an  R  and  it's  a  PG -13.  Everybody  can  go  in,  and  it's  certainly  to  do  with  a  certain (pause for 1.2s)  disgeneration  of  the  capitalist  system,  but  we  might  go  too  far  there.  But  I  think  in  Holland, (pause for 0.7s)  I  felt  that  that  was  the  way  we  lived  at  that  time.  I  was  in  the  early  30s,  and  promiscuity, (pause for 1.1s)  having  two  lovers, (pause for 0.5s)  or  three,  that  was  really, (pause for 1.2s)  in  the,  let's  say,  somewhat  more  elevated,  quote -unquote, (pause for 0.5s)  artistic  circles  was  a  must.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
Patrick Stewart,Patrick Stewart_1.wav," Yes,  very  much  quicker  now.  And  after  a  gap  of  six  years,  that's  what (pause for 0.9s)  alarms  me  most  to  see  how  each  image, (pause for 2.1s)  each  adjective  was  dwelt  on.  And  it  was  correct  then,  because  we  were  showing  a  man, (pause for 0.6s)  an  old  sweat,  an  old  military  man,  returning  to  a  room  which  he  felt  was  sterile  and  intellectual. (pause for 2.3s)  And  needed  to  impress,  my  seniors,  and  the  gripper,  with  an  experience  which,  because  they  hadn't  had  it,  would  have  somehow  made  them  poorer  in  life.  But  there  was  about  all  of  that,  the  sense  that,  perhaps,  none  of  it  was  true.  He  was  ripping  them  off.  It  was  a  traveller's  tales. (pause for 2.4s)  But  of  course,  that  was  also  a  reaction  to  that  particular  kind  of  room.  Now,  this  year,  we  have  a  very  different  room.  We  have  a  room  which  is  alive,  very  youthful,  and  very,  very  passionate,  very  volatile  room. (pause for 1.0s)  And  so  I  need  to  respond  to  that  in  a  different  way.  It's  interesting,  as  we've  talked  and  talked,  we  started  out  by,  first  of  all,  a  very  technical  way  isolating  verse.  But  in  the  last  few  minutes,  we've  been  talking  increasingly  about  acting, (pause for 0.6s)  and  the  response  to  the  verse  from  the  emotional  point  of  view.  Well,  what  is  different  about  it  now?","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Patrick Stewart,Patrick Stewart_2.wav," Mae 'r  wybodaeth  syl  Shobby  yn  gydol  ymwyr  i  ddefnydd  yn  ei  oes? (pause for 1.3s)  Mae 'r  cymuniadol  gwneud  sy 'n  gael  meddwl,  nag  sicrhau, (pause for 0.6s)  mae 'r  sylweddol  wrth  ymwyr  i 'r  gwneud  ymwyr  i 'r  oes.  Mói  hun,  sy 'n  gael  bod  yn  gael  bod  yn  coinod,  neu 'r  oes,  yn  dynod  dwi  sgyrwn  cymrddio.  Mae 'n  gael  bod  yn  gael  neu 'n  gael  bod  yn  gael  bod  yn  gael  bod  yn  gael  bod  yn  cael  ool, (pause for 0.9s)  yn  gael  oeblod  yn  effeithen.  Rwy 'n  gael  cyhkl'm  yir  lurlw  gwelwnwyr  i 'n  gael  bod  yn  morwch  yst.  ac  rydyn  i  fydd  ymwch  gwyllf  yr  pwyillfwf  yr  yna,  cufais  commitment  ddyma  fel  ei  yna!  Mae 'n  colour  methi  gweithydd  o  wasm  thyr,  ffydio  gallu 'r  ffydroedd  ei  amdiedraeth  sydd  yn  ddeleg  i 'r  hon,  a  ni 'n  gwaith  y  bwysig  fel  ei  greu  wrth  rydmwch,  i  wedi  felly.  Mae 'n  gwybod  sydd  wedi 'n  g菸,  a  rhoi  pan  i 'r  gofnid,  i 'rort  o  foodff  doeol. (pause for 1.6s)  Mae 'r  mynd  sy 'n  gweith,  mae 'r  herodff  ddu  cyprwn  edryd,  ac  mae 'n  gweith  feth  cytwn  i 'r  hon,  yn  cy  dataidd,  ac  yn  gweld  â  lad. (pause for 0.6s)  Dwi,  hernau  iawn  i  credu  am  ymach,  ac  cwchad  yn  gyni  cynnion. (pause for 0.8s)  Dyna  iawn  ym  gyni  wneud  ei  sy 'n  morod.  No  hodio  Moblau. (pause for 0.5s)  Dei  ac  mae 'n  ei  gweld,  ac  oedd  y  teideau  yma 'r  peth  yma.","(pause, (pause, (pause, (pause, (pause, (pause, (pause"
Patrick Stewart,Patrick Stewart_3.wav," it  immediately. (pause for 0.6s)  But  there  is  a  little  story  behind  it,  if  I  may  just  tell  you,  I'll  keep  you  very  brief.  I  first  came  here  as  an  professional  actor  in  1968  with  the  Royal  Shakespeare  Company,  the  Arminson  Theatre,  the  Music  Centre,  it  just  been  opened,  and  we  did,  I  think,  a  six -week  season  doing  two  plays. (pause for 0.9s)  Now,  when  our  first  day  off  came,  where  did  we  head? (pause for 0.8s)  I  would! (pause for 0.6s)  Of  course,  we  wanted  to  get  some  excitement,  feel,  and  buzz,  being  in  the  middle  of  the  film  capital  of  the  world. (pause for 0.6s)  And  we  found,  we  used  to  be  called  Grammins  Chinese  Theatre,  it  was  our  the  Chinese  Theatre,  and  we  looked  at  these  slabs  of  concrete  with  footprints  and  handprints,  and  incredibly  famous  signatures  signed  in  them.  And  with  me  was  a  colleague,  another  actor  from  the  company  playing, (pause for 0.5s)  you  know,  small  supporting  roles,  was  a  guy  called  Ben  Kingsley. (pause for 1.3s)  And  then  and  I,  we  stood  looking  at  this  stuff  going,  wow,  what  must  it  be  like?  It  must  be  amazing. (pause for 0.5s)  Well,  there  I  was  getting  to  do  it  myself, (pause for 0.6s)  and  Hollywood  as  American  movies  always  had  a  huge  influence  on  me.  I  saw  them  when  I  was  young, (pause for 0.6s)  and  they, (pause for 0.8s)  well,  my  childhood  wasn't  great. (pause for 0.6s)  So,  movies  were  an  escape. (pause for 0.9s)  As  acting  for  me  for  a  long  time  became  an  escape,  I  didn't  have  to  be  Patrick  Stewart  anymore.  I  could  be  something.","(pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause, (pause"
